action_id,title,tier,status,risk_tier,requires_admin,requires_runtime_input,mutation_capable,dry_run_default,requires_apply_for_change,script_path,script_sha256
ENDUSER_TEST_DESKTOP_FOLDER_LISTABLE_V1,Enduser Test Desktop Folder Listable V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/38-Test-DesktopFolderListable.ps1,e5a979a1fe6a0e54870ced1e95f76eeeee62ffa8d56c7b42359cbe7706fd8c73
ENDUSER_TEST_DOWNLOADS_FOLDER_LISTABLE_V1,Enduser Test Downloads Folder Listable V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/39-Test-DownloadsFolderListable.ps1,8ffe0b8675e7c785a1f9b297be2454b91e995af2e7dbc6ddd7c1baa9d36a37ea
ENDUSER_TEST_USER_PROFILE_FOLDER_LISTABLE_V1,Enduser Test User Profile Folder Listable V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/40-Test-UserProfileFolderListable.ps1,8a0f383988b6552e22d4554727b532da4aac4a082c2164be500d21d9c5c19e53
ENDUSER_GET_DRIVE_LETTER_SUMMARY_V1,Enduser Get Drive Letter Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/41-Get-DriveLetterSummary.ps1,3f8c6e18e38d44f7c36de472f89a7ae7322b673b3dc1b927f20aa148702bb10b
ENDUSER_CHECK_LOW_LOCAL_DISK_SPACE_V1,Enduser Check Low Local Disk Space V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/42-Check-LowLocalDiskSpace.ps1,4808670f89c44c3f1d6819e740c670e468aea2bef5eac1cf8bab644582441941
ENDUSER_GET_RECYCLE_BIN_NO_NAME_SUMMARY_V1,Enduser Get Recycle Bin No Name Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/43-Get-RecycleBinNoNameSummary.ps1,e01591a6accd9ed5640d90df02d9f0e5472d1321499b088fdc4dc3d6661de7c9
ENDUSER_CHECK_LONG_PATHS_POLICY_V1,Enduser Check Long Paths Policy V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/44-Check-LongPathsPolicy.ps1,91ba07d6281a283d892fa108be72c85b7d0147308bd484612f92ee9b3cdaf2d0
ENDUSER_GET_POWERSHELL_EXECUTION_POLICY_SUMMARY_V1,Enduser Get Powershell Execution Policy Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/45-Get-PowerShellExecutionPolicySummary.ps1,1a987b9498067503cc01a0e8f90a86b6c7dd9dc06cf7b6ac44f3e548b5c5f00c
ENDUSER_GET_FIREWALL_PROFILE_SUMMARY_V1,Enduser Get Firewall Profile Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/46-Get-FirewallProfileSummary.ps1,573d6a5aa60826d65a77ae54e24acacd21982d2466219a5a33cb6e07e0c14958
ENDUSER_GET_PROXY_ENABLED_NO_enterpriseLUE_SUMMARY_V1,Enduser Get Proxy Enabled No Enterpriselue Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/47-Get-ProxyEnabledNoValueSummary.ps1,807c29a1e275d27a169172aea45f2aab6a7e24aa167255b99fb3dbff9cd5064f
ENDUSER_GET_WINHTTP_PROXY_NO_enterpriseLUE_SUMMARY_V1,Enduser Get Winhttp Proxy No Enterpriselue Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/48-Get-WinHttpProxyNoValueSummary.ps1,f4a70e97db0ac890f7a915a3faeec7a443b9723d2c60c7b3549c74fc8c86d98c
ENDUSER_GET_KERBEROS_TICKET_COUNT_V1,Enduser Get Kerberos Ticket Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/49-Get-KerberosTicketCount.ps1,43b3382146f8badd2b109ea15bbefdcd742643518abe7c7fff34e8ba6632c8b5
ENDUSER_GET_DNS_CACHE_NO_NAME_SUMMARY_V1,Enduser Get Dns Cache No Name Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/50-Get-DnsCacheNoNameSummary.ps1,9c593ba1bd8e24315418cbd8289724ab7f16c682fd90f61d509c98ba1fab6f30
ENDUSER_GET_SMB_MAPPING_NO_PATH_SUMMARY_V1,Enduser Get Smb Mapping No Path Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/51-Get-SmbMappingNoPathSummary.ps1,18a95e37a0d95bc48ab9dfd5532f791b1d37ad5cea4b43125f45fb58850a8947
ENDUSER_GET_RECENT_NETWORK_ERROR_COUNT_V1,Enduser Get Recent Network Error Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/52-Get-RecentNetworkErrorCount.ps1,f73b34210d067bfbb69a973541d29787deacd11c7c775c8cec6475662053bf82
ENDUSER_GET_RECENT_DISK_NTFS_ERROR_COUNT_V1,Enduser Get Recent Disk Ntfs Error Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/53-Get-RecentDiskNtfsErrorCount.ps1,227e85356e85fd5d9ca0e483405bbf0eef36662738ede14780987cc2449502fb
ENDUSER_GET_RECENT_GROUP_POLICY_ERROR_COUNT_V1,Enduser Get Recent Group Policy Error Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/54-Get-RecentGroupPolicyErrorCount.ps1,2dce527c4a7cc45ef61b1d978581d428eda7d68081029ce8a1e8f7d363b29e64
ENDUSER_GET_SELFCHECK_EVIDENCE_ROOT_SUMMARY_V1,Enduser Get Selfcheck Evidence Root Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/55-Get-SelfCheckEvidenceRootSummary.ps1,8f0cca71ffb14bd4305689de483bbfd43fd963457e1b7d9ed68cf7b25da003c3
ENDUSER_TEST_USER_TEMP_PATH_EXISTS_V1,Enduser Test User Temp Path Exists V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/56-Test-UserTempPathExists.ps1,1c328de3c64b3d9e7e91820df19790c046b531bc985008cf2e76fdbb8b7553fe
ENDUSER_GET_STORAGE_ENVIRONMENT_enterpriseRIABLE_SUMMARY_V1,Enduser Get Storage Environment Enterpriseriable Summary V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/57-Get-StorageEnvironmentVariableSummary.ps1,7014da6a04e0dab0e53ffabcf10852e49d139626ab3d562f3cf38818c986f9ee
ENDUSER_GET_CURRENT_USER_GROUP_COUNT_V1,Enduser Get Current User Group Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/58-Get-CurrentUserGroupCount.ps1,ca3b7cf7b57adf0d9937e8da383653cfa188a84b586e4dce891483f41f1f2a5c
ENDUSER_GET_RECENT_EXPLORER_CRASH_COUNT_V1,Enduser Get Recent Explorer Crash Count V1,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/59-Get-RecentExplorerCrashCount.ps1,bcb50878fc9795c7d4847b6ad6627512c561044cbcfa1b064a9fe9d3d6bd7ddf
ENDUSER_RUN_ALL_NO_INPUT_CHECKS_V2,Enduser Run All No Input Checks V2,End User Self-Service,CANDIDATE_LOCAL_TEST,LOW_READONLY,False,False,False,False,False,packs/windows/end-user/no-input-v2/scripts/checks/60-Run-AllNoInputChecks-V2.ps1,c84dec3c56c58518cc72b574e7797332319ae0bd7e336256b18bf1a67e2e26fb
